,Player,Total Points,MatchesPlayed
0,Pawan Kumar Sehrawat,222,20
1,Naveen Kumar,213,20
2,Pardeep Narwal,196,20
3,Maninder Singh,171,20
4,Siddharth Sirish Desai,143,18
5,Vikash Kandola,123,17
6,Deepak Niwas Hooda,113,20
7,Abhishek Singh,110,18
8,Rahul Chaudhari,97,20
9,Rohit Gulia,95,20
10,V. Ajith Kumar,89,17
11,Manjeet,86,20
12,Pankaj Mohite,84,16
13,Shrikant Jadhav,83,18
14,Chandran Ranjit,81,19
15,K. Prapanjan,71,18
16,Rohit Kumar,69,17
17,Vinay,69,20
18,Sachin Tanwar,65,16
19,Mohammad Esmaeil Nabibakhsh,60,20
20,Prashanth Kumar Rai,60,14
21,Arjun Deshwal,57,16
22,Nitin Tomar,49,13
23,Ajay Thakur,47,13
24,Naveen,46,15
25,Deepak Narwal,44,17
26,Sonu Jaglan,42,15
27,Surender Gill,41,15
28,Nilesh Salunke,40,17
29,Jang Kun Lee,40,14
30,Athul MS,39,16
31,Monu Goyat,38,10
32,Rohit Baliyan,36,17
33,Rishank Devadiga,35,14
34,Suraj Desai,35,12
35,More GB,35,17
36,Rajnish,31,10
37,Vijay,31,19
38,Mohammad Esmaeil Maghsoudlou Mahalli,28,18
39,Sumit Singh,27,16
40,Sukesh Hegde,27,13
41,Nitin Rawal,23,15
42,Meraj Sheykh,22,13
43,Farhad Rahimi Milaghardan,20,18
44,Rakesh Gowda,20,9
45,Pawan Kumar Kadian,19,6
46,Shabeer Bappu,17,14
47,Ajinkya Ashok Pawar,16,14
48,Sandeep Narwal,14,20
49,Banty,13,12
50,Sushil Gulia,12,7
51,Amit Kumar,12,13
52,Monu,9,20
53,Amit Kumar,9,6
54,Sushant Sail,8,9
55,Dong Geon Lee,8,5
56,Selvamani K,7,7
57,Vikas Jaglan,7,20
58,Sachin Narwal,7,12
59,Vinod Kumar,6,9
60,Armaan,6,6
61,Ran Singh,5,19
62,Surender Singh,5,4
63,Harmanjit Singh,5,4
64,Emad Sedaghatnia,5,2
65,Ankit Beniwal,5,6
66,Ankush,4,3
67,Mohit Sehrawat,4,13
68,Hadi Oshtorak,4,20
69,Darshan Kadian,4,7
70,Victor Onyango Obiero,4,3
71,Mohsen Maghsoudloujafari,4,11
72,Azad Singh,3,4
73,Vineet Sharma,3,11
74,Abolfazl Maghsodloumahali,3,6
75,Rakesh Narwal,3,2
76,Gurvinder Singh,3,2
77,Anand,3,5
78,Purna Singh,3,7
79,Ashish,3,7
80,Amit Kumar,3,3
81,Palle Mallikarjun,2,3
82,Aman Kadian,2,3
83,Amit Kumar,2,9
84,Yashwant Bishnoi,2,3
85,Amit,1,18
86,Arun Kumar HN,1,2
87,Lalit Chaudhary,1,4
88,Ajinkya Rohidas Kapre,1,2
89,Sunil Kumar,1,18
90,Ravindra Ramesh Kumawat,1,3
91,Surinder Singh,1,20
92,Fazel Atrachali,1,20
93,Hadi Tajik,1,12
94,PO Surjeet Singh,1,19
95,Dharmaraj Cheralathan,1,18
96,C. Arun,1,18
97,Himanshu,1,3
98,Shubham Shinde,1,13
99,Hemant Chauhan,1,3
100,Sumit,1,18
101,Ajay,1,10
102,Chand Singh,1,9
103,Vikas Chhillar,1,1
104,Balram,1,2
105,Saurabh Nandal,1,19
