,Player,Total Points,MatchesPlayed
0,Pawan Kumar Sehrawat,209,24
1,Pardeep Narwal,185,21
2,Ajay Thakur,177,22
3,Siddharth Sirish Desai,169,21
4,Deepak Niwas Hooda,162,22
5,Sachin Tanwar,159,23
6,Maninder Singh,158,22
7,Naveen Kumar,144,22
8,Rahul Chaudhari,136,21
9,Vikash Kandola,136,22
10,Rohit Kumar,129,24
11,Monu Goyat,128,20
12,Chandran Ranjit,127,24
13,Prashanth Kumar Rai,112,21
14,Shrikant Jadhav,108,25
15,K. Prapanjan,95,22
16,Nitin Tomar,84,11
17,Rohit Baliyan,82,19
18,Rishank Devadiga,82,23
19,Manjeet,76,22
20,Naveen,71,21
21,Meraj Sheykh,71,19
22,Jang Kun Lee,61,18
23,More GB,60,22
24,Nilesh Salunke,59,19
25,Ajinkya Ashok Pawar,57,17
26,Deepak Narwal,55,17
27,Kashiling Adake,51,20
28,Sukesh Hegde,51,17
29,Vijay,50,21
30,Rohit Gulia,48,19
31,Athul MS,46,19
32,Darshan Kadian,38,14
33,Monu,38,14
34,Abhishek Singh,38,15
35,Pawan Kumar Kadian,32,13
36,Jasvir Singh,32,16
37,Anup Kumar,30,13
38,Ravindra Ramesh Kumawat,29,12
39,Selvamani K,27,15
40,Mahesh Goud,26,10
41,Deepak Kumar Dahiya,26,11
42,Akshay Jadhav,25,18
43,Mohsen Maghsoudloujafari,25,19
44,Ajay Kumar,23,13
45,Ran Singh,23,22
46,Dong Geon Lee,22,11
47,Sachin Kumar,21,25
48,Abolfazl Maghsodloumahali,19,10
49,Nitin Rawal,19,9
50,Mahendra Ganesh Rajput,18,13
51,Farhad Rahimi Milaghardan,17,22
52,Sandeep Narwal,16,18
53,Vinod Kumar,15,17
54,Azad Singh,14,9
55,Harish Naik,14,7
56,Amit Nagar,13,9
57,Tushar Patil,13,9
58,Vikas Jaglan,13,14
59,Rajesh Mondal,13,11
60,Rakshith,12,11
61,Amit Kumar,10,17
62,CPO Surjeet Singh,10,9
63,Anand Patil,9,7
64,Armaan,9,4
65,Rajnish,8,4
66,Kamal Singh,7,8
67,C Manoj Kumar,7,12
68,Anand,7,3
69,Anand Surendra Tomar,7,5
70,Ajit Singh,7,6
71,Sumit Singh,7,8
72,Shabeer Bappu,6,6
73,Bhupender Singh,6,4
74,Bhanu Pratap Tomar,6,6
75,Mahesh Maruti Magdum,5,4
76,Parvesh,5,6
77,D. Pradap,5,13
78,Manjeet Chhillar,5,19
79,Rajesh Narwal,5,16
80,Rakesh Narwal,5,6
81,Hadi Oshtorak,4,13
82,Sandeep,4,5
83,Sunil Siddhgavali,4,16
84,Victor Onyango Obiero,4,3
85,Amit Kumar,4,6
86,Anand V,3,3
87,Arjun Deshwal,3,3
88,Bhuvneshwar Gaur,3,6
89,Ashish Kumar,3,24
90,Rohit Kumar Choudary,2,6
91,Wazir Singh,2,2
92,Shrikant Tewthia,2,8
93,PO Surjeet Singh,2,23
94,Sachin Vittala,2,22
95,Lokesh Kaushik,2,6
96,Shubham Ashok Palkar,2,4
97,Vimal Raj V,2,5
98,Gaurav Kumar,2,3
99,Dharmender,2,4
100,Mithin Kumar,2,3
101,Md. Masud Karim,2,3
102,Lalit Chaudhary,1,3
103,Rinku Narwal,1,15
104,Vishal,1,6
105,Vishav Chaudhary,1,2
106,Vijay Kumar,1,4
107,Anuj Kumar,1,7
108,Arun Kumar HN,1,2
109,Parveen,1,19
110,Adarsh T,1,10
111,Prateek,1,6
112,Mayur Shivtarkar,1,18
113,Jawahar Dagar,1,15
114,Yogesh Hooda,1,6
115,David Shilisia J Mosambayi,1,4
116,Krushna Madane,1,6
117,Gangadhari Mallesh,1,6
118,Amit Kumar,1,2
