,Team,Total Points,MatchesPlayed,Total Points Conceded,Successful Raids,Successful Tackles,Super Raid,Super Tackles,Inflicted,Conceded
0,Bengaluru Bulls,887,24,766,431,219,20,12,37,24
1,Gujarat Fortunegiants,876,25,769,392,258,10,18,36,20
2,U Mumba,856,23,672,372,274,15,15,41,16
3,Dabang Delhi K.C.,822,24,824,401,198,13,19,34,28
4,U.P. Yoddha,812,25,847,357,240,10,27,26,30
5,Patna Pirates,799,22,835,406,186,11,16,30,30
6,Bengal Warriors,725,23,734,340,186,16,16,23,23
7,Haryana Steelers,715,22,806,361,180,12,15,16,33
8,Jaipur Pink Panthers,711,22,780,334,202,13,25,22,32
9,Tamil Thalaivas,671,22,741,344,174,7,15,20,27
10,Puneri Paltan,649,22,694,286,189,7,34,14,29
11,Telugu Titans,647,22,702,289,202,9,33,18,25
